question_column,canonical_text,topic,confidence,needs_review,reason,stage
1,nan,A 基本資料,0.95,False,出生地,first
2,nan,A 基本資料,0.92,False,出生地/地區碼,first
43,nan,B 教育,0.92,False,學校/教育,first
44,nan,B 教育,0.9,False,科系/教育,first
45,nan,C 工作,0.92,False,薪資/就業,first
46,nan,C 工作,0.92,False,收入/工作,first
49,nan,B 教育,0.92,False,就讀學校/地區,first
50,nan,B 教育,0.82,False,學校/地區,first
51,nan,B 教育,0.9,False,畢業年/學歷,first
52,nan,F 居住,0.9,False,居住/是否住在家,first
53,nan,F 居住,0.86,False,居住/通勤時間,first
54,nan,F 居住,0.92,False,居住地,first
57,nan,K 家庭決策與支出,0.9,False,學費支出,first
58,nan,B 教育,0.86,False,題目片段提到「學校裡和您最親近的朋友」，明確在學校情境下詢問人際關係，屬於教育/就學相關內容，應分類為教育 (B)。,"second(B 教育,A 基本資料,C 工作)"
61,nan,C 工作,0.9,False,薪資/工作,first
62,nan,C 工作,0.92,False,收入/工作,first
63,nan,B 教育,0.95,False,學歷/教育程度,first
83,nan,C 工作,0.75,False,找工作,first
84,nan,C 工作,0.86,False,找工作,first
91,nan,D 交往、婚姻與配偶資訊,0.95,False,結婚/聘金,first
92,nan,D 交往、婚姻與配偶資訊,0.85,False,父母/婚姻,first
99,nan,C 工作,0.95,False,工作/每週工時,first
112,nan,K 家庭決策與支出,0.92,False,家務時間,first
113,nan,H 父母,0.88,False,父母/經濟支持,first
124,nan,A 基本資料,0.9,False,入伍年,first
125,nan,A 基本資料,0.85,False,退伍年,first
129,nan,A 基本資料,0.94,False,健康自評,first
130,nan,A 基本資料,0.9,False,健康/行動不便,first
131,nan,H 父母,0.85,False,父母/態度量表,first
132,nan,B 教育,0.9,False,學校/教育,first
133,nan,B 教育,0.8,False,提供的題目版本中，g03i（「請問您現在住的住宅有無電梯?」）明確屬於居住/住屋屬性，屬於F 類。雖然另有一版本問學科（屬B），但至少有一個版本明確指向居住主題,"second(F 居住,A 基本資料,B 教育)"
134,nan,B 教育,0.9,False,技能檢定/教育,first
135,nan,B 教育,0.95,False,在學/畢業,first
136,nan,C 工作,0.86,False,工作/打工經驗,first
137,nan,C 工作,0.93,False,打工/每週工時,first
138,nan,C 工作,0.95,False,工時,first
139,nan,C 工作,0.9,False,打工/工作,first
140,nan,A 基本資料,0.1,True,題目僅顯示「(7)其他(請說明)____」，無題幹或上下文，無法判斷此「其他」屬於教育、工作還是基本資料。因內容完全不明，故標記需審查並給予低信心評分。,"second(A 基本資料,B 教育,C 工作)"
141,nan,H 父母,0.9,False,態度量表/父母,first
142,nan,H 父母,0.86,False,父母,first
143,nan,H 父母,0.8,False,父母/態度量表,first
144,nan,H 父母,0.85,False,父母/態度量表,first
145,nan,H 父母,0.8,False,父母,first
146,nan,B 教育,0.75,False,學校成績/教育,first
147,nan,B 教育,0.85,False,教育/學習困難,first
148,nan,B 教育,0.85,False,學校/規定/作息,first
149,nan,B 教育,0.95,False,成績/學業排名,first
150,nan,B 教育,0.87,False,畢業後計畫/學業,first
151,nan,B 教育,0.9,False,轉學/學歷,first
152,nan,B 教育,0.92,False,學歷,first
153,nan,B 教育,0.88,False,學歷,first
154,nan,B 教育,0.95,False,就讀學校/地區,first
155,nan,B 教育,0.86,False,教育/影響,first
156,nan,H 父母,0.9,False,父母,first
157,nan,C 工作,0.88,False,題目版本出現“(c)老師”，明顯為職業選項（教師），屬於就業/職業範疇，應歸入工作（C）。,"second(A 基本資料,B 教育,C 工作)"
